,accuracy,precision,recall,accuracy,precision,recall
WClassCB,0.99708,0.9970719805338092,0.9970671779472358,0.99962,0.9996197803692188,0.9996200984559503
WClassVL,0.99668,0.9966742791646824,0.9966773504864227,0.99772,0.9977225375333375,0.9977167373693373
WClassVP,0.98344,0.983468962035701,0.9834346077057797,0.99384,0.9938534327763916,0.9938321145941384
WClassVR,0.9896,0.9895808412844846,0.9895754555362156,0.9926,0.992613107150442,0.992596233576421
WClassHLR,0.923420893458913,0.9240478153015014,0.9232939974151207,0.9303767389613756,0.9304503448516221,0.9303568294664271
