,identification,Ca,Mg,Na,K,SO4,Cl,HCO3,CO3,Ca_mmol,Mg_mmol,Na_mmol,K_mmol,SO4_mmol,Cl_mmol,HCO3_mmol,CO3_mmol,GMC,7 hlr (b),7 hlr (b+h),Catboost (b),Catboost (b+h),SVM-L (b),SVM-L (b+h),SVM-P (b),SVM-P (b+h),SVM-RBF (b),SVM-RBF (b+h)
10,DLCHI395-260616,4.3580000000000005,1.0170000000000001,240.83,6.9635,201.7535,57.37,330.21,29.54,0.108737961,0.041843242,10.47552923,0.178102373,2.10037374,1.618335684,5.411859184,0.492267698,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
11,DLCHI395-260415,5.271,1.54,254.1,6.041,243.67754,58.08,307.4,31.8,0.131518539,0.063361448,11.0527425,0.15450799699999998,2.536827892,1.6383638930000002,5.038022814,0.5299293429999999,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
12,DLCHI395-250617,4.993,1.3090000000000002,312.9,6.312,135.82299999999998,60.3501,349.92,43.2,0.124582065,0.053857231,13.61040192,0.161439244,1.4139980840000002,1.702400564,5.734889208999999,0.719904013,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
13,DLCHI395-261014,6.3629999999999995,1.608,373.9,6.627999999999999,235.95,62.2,300.4,20.2,0.158765407,0.066159226,16.26375608,0.169521437,2.456379612,1.754583921,4.923298807,0.336621784,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
14,DLCHI395-100618,4.707,1.318,291.6,7.35,179.2044,66.0504,326.975,28.7,0.11744598,0.054227525,12.68390285,0.187987713,1.865624219,1.863198872,5.358840304,0.478269564,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
15,DLCOA456-220516,1.635,0.5324,363.1,3.283,12.9397,26.12,533.6,60.32,0.040795449,0.021904958,15.793981900000002,0.083967845,0.134709961,0.736812412,8.745247147999999,1.005199307,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
16,DLDUR5406-290418,10.03,0.2404,191.17,1.6459,111.9017,18.2497,204.82,16.72,0.25026198899999996,0.009890969,8.315437953,0.042096459,1.1649631459999998,0.514801128,3.356824439,0.278629516,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
17,DLDUR5809-270119,10.48,0.1396,55.05,1.41,21.1716,21.8514,69.55,25.68,0.261490094,0.005743674,2.3945433869999997,0.036062949,0.220408928,0.616400564,1.139864953,0.427942941,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
18,DLDUR638-111118,7.419,0.1677,240.59,1.5545,41.2193,10.6846,271.69,26.26,0.185114028,0.006899815,10.4650898,0.039758762,0.42911739,0.301399154,4.452766487,0.43760831899999997,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
19,DLDUR638-030917,6.189,0.1214,198.8,1.169,47.7455,13.7369,274.835,37.62,0.15442387300000002,0.004994857,8.647324711,0.029898998,0.49705900700000005,0.387500705,4.504310345,0.6269164110000001,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
20,DLDUR643-030917,9.43,0.5174,129.5,0.922,22.4101,9.3056,180.785,37.62,0.235291182,0.021287801000000002,5.632940392999999,0.023581587999999997,0.233302449,0.262499295,2.9629113680000003,0.6269164110000001,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
21,DLDUR643-270518,10.52,0.5814,123.5,0.6912,22.4095,14.9457,170.98,47.38,0.26248814800000003,0.023921004,5.3719547379999995,0.017678518,0.23329620199999998,0.421599436,2.802215812,0.7895613920000001,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
22,DLDUR644-030917,10.64,0.1652,111.8,0.7987,13.9593,11.0781,176.605,25.08,0.26548230899999997,0.006796955,4.86303271,0.020427998,0.145324602,0.312499295,2.894404746,0.417944274,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
23,DLDUR692-231218,3.361,0.8761,149.9,1.1,57.9009,21.5146,100.28,61.04,0.08386147,0.036046081,6.520291621,0.028134216,0.602782752,0.606899859,1.6435033430000001,1.017197707,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
24,DLDUR692-210615,2.017,0.6021,85.05,0.3609,50.1682,22.29,106.53,58.29,0.050326863,0.024772681,3.699471663,0.00923058,0.522280753,0.62877292,1.7459354919999999,0.971370484,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
25,DLDUR692-220614,2.952,2.633,122.7,1.157,63.33,23.0,108.0,51.4,0.07365637,0.108331619,5.33715665,0.029592079,0.659302907,0.648801128,1.770027534,0.85655246,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
26,DLDUR692-040916,2.912,0.7337,128.0,0.7133,52.9689,24.99,79.0,78.0,0.072658316,0.030187204,5.5676939789999995,0.01824376,0.551437703,0.70493653,1.294742363,1.29982669,Na-CO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3,Na-HCO3,Na-HCO3-CO3
27,DLDUR692-200518,3.01,0.8242,135.9,1.042,46.7459,25.524,128.865,44.73,0.07510354799999999,0.033910718,5.911325092,0.026650775,0.48665257799999995,0.72,2.11198702,0.7454006129999999,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
28,DLDUR692-130817,2.9760000000000004,0.8136,149.4,0.8116,41.9188,28.7925,110.635,36.54,0.074255202,0.033474593999999996,6.4985428160000005,0.020757936,0.4363996,0.812200282,1.8132129280000002,0.608918811,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
29,DLDUR725-181118,8.82,0.1813,124.27,5.1226,18.9913,18.2319,120.19,38.38,0.220070862,0.00745937,5.405447897,0.131018484,0.19771071,0.5142990129999999,1.9698111969999998,0.639581389,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
30,DLDUR728-270518,2.237,0.2343,221.0,1.275,44.0614,25.6516,108.15,133.9,0.055816158,0.009639992,9.612971636000001,0.032610112999999996,0.458705339,0.723599436,1.772485905,2.231369151,Na-CO3,Na-HCO3,Na-HCO3-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3-HCO3,Na-CO3,Na-CO3
31,DLDUR728-271019,2.87,0.12,222.0,2.6519999999999997,49.4077,26.0345,163.08,56.16,0.07161036,0.004937256,9.656469245,0.067829036,0.514363496,0.7344005640000001,2.672741576,0.935875217,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
32,DLDUR728-181118,2.6319999999999997,0.1591,205.17,1.8645,45.8337,30.0581,142.41,101.0,0.06567194,0.006545978,8.924404482,0.047687495,0.477156034,0.8479012690000001,2.333977973,1.6831089190000001,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
33,DLDUR746-200518,6.954,0.8762,149.2,7.553,32.2507,21.4402,203.415,40.47,0.173511652,0.036050195,6.489843294,0.193179755,0.335748938,0.604801128,3.333797692,0.674410079,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
34,DLDUR760-140615,46.81,16.88,95.44,4.361000000000001,115.55937,27.68,275.01,30.9,1.167972454,0.694507303,4.151411823,0.111539376,1.203041663,0.780818054,4.507178445,0.514931342,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
35,DLEST860-060915,3.8160000000000003,9.661,27.96,8.496,13.41,19.22,122.5,19.6,0.095214332,0.39749022799999995,1.2161931540000002,0.21729845,0.139606063,0.5421720729999999,2.007670119,0.326623117,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
