,hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,CationC,AnionC
0,2.280058453,-6.880529191,-3.1714456760000003,-2.33713183,-6.041990133,-6.218847514,22.99085435,3,3
1,-1.532455476,-5.924169076,-3.4901542869999997,-1.9553131540000002,-5.414555049,-4.921414008999999,24.4067468,3,2
2,0.441256365,-5.848786147999999,-3.465372372,-3.074842499,-5.274871242,-5.450633696000001,24.37090409,3,3
3,0.325164199,-6.093495692,-3.581464538,-3.144772623,-5.437278191,-5.538837831,24.25481193,3,3
4,2.308304551,-7.107406302999999,-4.544778719,-1.5765351459999999,-6.697893652,-6.318046332000001,24.19773814,3,2
5,0.954038057,-7.106052862,-2.679091386,-2.710515992,-5.445187795,-6.4449439260000005,23.83386552,3,3
6,1.244830771,-6.469971384,-3.970129786,-3.198029125,-5.650124459,-5.697979919,24.48133232,3,3
7,2.012025542,-6.492516596000001,-4.132645767,-3.5412781000000004,-5.338063406,-5.9507396539999995,24.33223936,3,3
8,0.175314783,-5.978387287,-3.954453506,-1.851628335,-4.101199405,-5.85120218,22.495528600000004,3,3
9,1.3584865869999998,-6.536078324,-4.009658433,-3.058749704,-5.689129619,-6.044058341,24.37184508,3,3
10,0.529030137,-6.787357801000001,-3.356544525,-2.04153176,-5.314779675,-6.5395094810000005,23.94785291,3,3
11,-0.929556536,-6.105176987999999,-2.852054745,-3.0618650030000003,-4.273784484,-5.818245326,24.79184983,3,3
12,-0.929556536,-6.105176987999999,-2.852054745,-3.0618650030000003,-4.273784484,-5.818245326,24.79184983,3,3
13,2.045226178,-6.407305301,-3.470833138,-2.795124323,-5.860902666,-5.018206169,23.8546177,3,2
14,2.115492976,-6.48493817,-4.247505328,-3.49496408,-6.44032434,-2.850147049,23.74256461,3,2
15,2.115492976,-6.48493817,-4.247505328,-3.49496408,-6.44032434,-2.850147049,23.74256461,3,2
16,2.858774281,-7.254114532999999,-4.720961554,-1.47073393,-7.204471207,-4.786730046000001,23.56957018,3,2
17,2.730374803,-6.83565295,-3.1040965789999997,-2.757037274,-6.431778155,-5.437293907000001,22.74804852,3,2
18,3.2334733910000004,-7.410392547000001,-4.774388019,-1.296697182,-7.426626343,-3.264620165,23.65659555,3,2
19,-1.53764421,-7.903195242000001,-2.44854164,0.018926644,-7.836446492,-3.58246321,25.79319993,3,2
20,-1.413784905,-6.252513771,-3.5661030080000002,-0.923738005,-6.406492002,-3.530306052,25.46030085,3,2
21,2.897287625,-7.486619202999999,-4.896033023999999,-1.9140693869999998,-7.5773640989999995,-1.785943124,24.1676886,3,2
22,3.294572745,-7.5383282760000005,-4.929525106,-2.08809038,-7.617748007,-1.958739367,24.2285072,3,2
23,3.2818441860000003,-7.570892195,-4.955498892,-2.16826022,-7.625715248,-1.7891463769999998,24.21577864,3,2
24,1.795853035,-6.7621211720000005,-4.264673333999999,-3.40327853,-6.783166819,-2.773060292,24.06477382,3,2
25,2.224438513,-7.346848492,-4.72460473,-2.023410784,-7.42875278,-1.7181009109999998,24.38213428,3,2
26,3.1520117169999997,-7.513895464,-4.866158045,-1.9247192290000001,-7.5926330879999995,-2.267288853,24.26826439,3,2
27,2.5706071440000002,-7.496985506000001,-4.8611485430000005,-2.0672190930000003,-7.599475381,-1.114100758,24.37999867,3,2
28,3.01659579,-7.548386294,-4.938694187,-2.029600812,-7.63876254,-1.361253328,24.28699677,3,2
29,-1.376343614,-6.244785901,-3.528954159,-1.280175075,-6.359351547999999,-3.398978071,25.52371763,3,2
30,3.9779337389999996,-7.84055472,-5.251655979,-2.115138065,-7.930151847,-0.959495526,23.99560746,3,2
31,2.167231365,-7.34641864,-4.735125383,-1.969392917,-7.425976406,-1.7510944169999998,24.43615215,3,2
32,3.155872352,-7.476175795,-4.882568374,-2.133420036,-7.559270313,-1.915121536,24.27212503,3,2
33,2.201584695,-7.366132238,-4.744921545,-1.900159029,-7.467834722,-1.6372766280000002,24.41643855,3,2
34,3.246287522,-7.639449842,-5.039218957,-1.871683049,-7.73485942,-1.601559502,24.18022197,3,2
35,2.897132226,-7.526495485,-4.918378124,-2.082976051,-7.630222645,-1.3683894909999998,24.30106281,3,2
36,2.787718765,-7.502291656000001,-4.891022026,-1.9348459230000001,-7.565168684,-1.835255958,24.30943099,3,2
37,3.464646513,-7.647786015,-5.056459738,-2.331198766,-7.732378145,-1.398699712,24.17544241,3,2
38,2.8951134639999996,-7.515468005,-4.872233485,-1.867271329,-7.589791606,-1.6545876780000002,24.29904405,3,2
