 Consec, Region, SampleID,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L)," Data in mEq/L  
 start here",Ca mEq/L,Mg mEq/L,Na mEq/L,K mEq/L,SO4 mEq/L,Cl mEq/L,HCO3 mEq/L,CO3 mEq/L," Data in mMol/L 
 start here",Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,CationC,AnionC,FinalC,"hlr transformations  
 start here",hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,"7 hlr model for cations 
 start here",hDF1_Ca-Mg-Na,hDF2_Ca-Mg-Na,hp_Ca,hp_Mg,hp_Na,------,hDF1_Ca-Mg-K,hDF2_Ca-Mg-K,hp_Ca,hp_Mg,hp_K,------,hDF1_Ca-Na-K,hDF2_Ca-Na-K,hp_Ca,hp_Na,hp_K,------,hDF1_Mg-Na-K,hDF2_Mg-Na-K,hp_Mg,hp_Na,hp_K,"7 hlr model for anions 
 start here",hDF1_SO4-Cl-HCO3,hDF2_SO4-Cl-HCO3,hp_SO4,hp_Cl,hp_HCO3,------,hDF1_SO4-Cl-CO3,hDF2_SO4-Cl-CO3,hp_SO4,hp_Cl,hp_CO3,------,hDF1_SO4-HCO3-CO3,hDF2_SO4-HCO3-CO3,hp_SO4,hp_HCO3,hp_CO3,------,hDF1_Cl-HCO3-CO3,hDF2_Cl-HCO3-CO3,hp_Cl,hp_HCO3,hp_CO3,"Sum of cation probabilities 
 of 7 hlr model  start here",hp_Ca,hp_Mg,hp_Na,hp_K,CationP,CationPH,"Sum of anion probabilities 
 of 7 hlr model  start here",hp_SO4,hp_Cl,hp_HCO3,hp_CO3,AnionP,AnionPH,FinalP,FinalPH,-----,Ionic imbalance %,Acceptability
29,Ngbo,PL1,47.9,28.2,16.08,0.98,4.9,1.53,30.01,6.6, ,2.390338839,2.320510183,0.699441556,0.025065028,0.102023819,0.043159379,0.491838206,0.219970671, ,1.19516942,1.160255092,0.699441556,0.025065028,0.05101191,0.043159379,0.491838206,0.109985335,calcium,bicarbonate,calcium-bicarbonate, ,-1.742688921,-1.236575994,2.092232662,1.381647116,1.548806484,-0.884443568,0.613359204,,0.090071378,0.07295054,0.325063813,0.30151075,0.373425437,,-1.199770848,-3.323572973,0.432090699,0.566255963,0.001653337,,-3.063212439,-1.825392544,0.485923072,0.512560804,0.001516124,,-3.049514916,-2.04320354,0.575407766,0.423348331,0.001243903,,0.638451052,2.336529654,0.038052071,0.01220179,0.949746139,,0.440338585,-1.413241024,0.171742754,0.04884202,0.779415226,,0.700632753,-1.540630933,0.033265475,0.813946104,0.152788422,,0.806689454,-2.244679102,0.010669642,0.847120727,0.142209631,,0.310769396,0.36079362,0.327333643,0.001103341,magnesium,magnesium-sodium,,0.060765075,0.017928363,0.652703243,0.26860332,bicarbonate,bicarbonate-carbonate,magnesium-bicarbonate,magnesium-sodium bicarbonate-carbonate,,72.76081618,imbalance too high
30,Ngbo,BH1,102.6,19.3,1.62,1.56,2.6,1.02,20.12,19.8, ,5.120015969,1.588150586,0.070466127,0.039899433,0.054135088,0.02877292,0.329749574,0.659912012, ,2.560007984,0.794075293,0.070466127,0.039899433,0.027067544,0.02877292,0.329749574,0.329956006,calcium,carbonate,calcium-carbonate, ,-1.586990656,0.835055504,1.403825516,1.79185226,1.730752975,-0.708145871,-0.708771701,,-3.029506115,0.492327778,0.903399375,0.093816919,0.002783706,,0.000253718,-3.491848069,0.87992626,0.118572892,0.001500848,,-3.464783642,1.506795433,0.995391539,0.003196901,0.00141156,,-2.57859227,0.696257098,0.972129527,0.01936053,0.008509943,,1.005457856,2.31942495,0.021522426,0.012780742,0.965696832,,1.996493536,-2.483217472,0.007332223,0.004149539,0.988518238,,-0.859145031,-2.590232481,0.005512983,0.262155404,0.732331613,,-0.67187215,-2.975998675,0.003689958,0.286773952,0.70953609,,0.694679293,0.296129834,0.006335284,0.002855588,calcium,calcium-magnesium,,0.008591908,0.00515506,0.378656547,0.607596485,carbonate,carbonate-bicarbonate,calcium-carbonate,calcium-magnesium carbonate-bicarbonate,,72.81571997,imbalance too high
31,Ngbo,PL2,86.4,40,1.02,1.23,2.6,0.81,60.2,24.2, ,4.311592395,3.291503806,0.044367561,0.031459168,0.054135088,0.022849083,0.986626459,0.806559125, ,2.155796197,1.645751903,0.044367561,0.031459168,0.027067544,0.022849083,0.986626459,0.403279563,calcium,bicarbonate,calcium-bicarbonate, ,-2.200423267,1.413020772,1.756838915,1.907194006,2.076618381,-1.688762131,-0.79410065,,-3.697242999,-0.619278875,0.626375038,0.372586693,0.001038269,,-1.084014676,-3.833559,0.557793808,0.441408515,0.000797677,,-3.612028422,1.812192469,0.997239387,0.001693896,0.001066717,,-3.691975387,1.423064861,0.996887767,0.001902578,0.001209655,,1.57929531,3.623080743,0.002617091,0.001166964,0.996215945,,2.118638835,-2.833262778,0.004961881,0.002082739,0.992955381,,-0.012890962,-3.482819277,0.001627208,0.681548126,0.316824667,,0.190862258,-3.99625944,0.000809519,0.696288727,0.302901754,,0.545352058,0.452720744,0.001158686,0.000768512,calcium,calcium-magnesium,,0.002301545,0.001014805,0.593513199,0.403170451,bicarbonate,bicarbonate-carbonate,calcium-bicarbonate,calcium-magnesium bicarbonate-carbonate,,60.83041988,imbalance too high
32,Ngbo,PL3,112.6,35.7,4.81,0.27,6.8,1.02,80.13,10.6, ,5.619042866,2.937667147,0.2092235,0.006905671,0.141584076,0.02877292,1.313262095,0.353286229, ,2.809521433,1.468833573,0.2092235,0.006905671,0.070792038,0.02877292,1.313262095,0.176643114,calcium,bicarbonate,calcium-bicarbonate, ,-1.981933702,-0.033112885,3.377947204,1.050543639,1.950855522,-1.869979295,0.136158782,,-2.191728358,0.145034092,0.766115494,0.220746096,0.01313841,,-1.297288337,-5.68082095,0.713646225,0.286316204,3.76E-05,,-5.398888639,-0.629159499,0.984123851,0.015840077,3.61E-05,,-4.831978075,-1.352678543,0.965927889,0.03399122,8.09E-05,,0.784029493,3.69240027,0.008998821,0.001024139,0.98997704,,0.395149769,-2.166330665,0.140653945,0.013860102,0.845485953,,1.302334194,-2.177073091,0.008174475,0.942416844,0.049408681,,1.373385765,-3.466696072,0.000992143,0.951201581,0.047806276,,0.615971393,0.368247547,0.015742427,3.86E-05,calcium,calcium-magnesium,,0.03945681,0.003969096,0.720898866,0.235675227,bicarbonate,bicarbonate,calcium-bicarbonate,calcium-magnesium bicarbonate,,65.3732412,imbalance too high
33,Ngbo,PL4,62.8,40,1.43,2.07,3.4,1.02,20.11,13.2, ,3.133888917,3.291503806,0.062201581,0.052943478,0.070792038,0.02877292,0.329585682,0.439941341, ,1.566944458,1.645751903,0.062201581,0.052943478,0.035396019,0.02877292,0.329585682,0.219970671,magnesium,bicarbonate,magnesium-bicarbonate, ,-2.283476974,0.992095248,1.15325077,1.555876313,1.763041015,-0.675360689,-0.271018553,,-2.933626444,-0.769807799,0.472222054,0.524355944,0.003422002,,-1.125272998,-2.866935748,0.400220451,0.596346911,0.003432638,,-2.629741077,1.489853206,0.985922129,0.007251676,0.006826195,,-3.037487998,1.342578418,0.991453038,0.004448916,0.004098045,,0.638382381,2.334387003,0.038126399,0.012248886,0.949624715,,1.334639683,-2.28823903,0.026709567,0.007989662,0.965300771,,-0.43417267,-2.05719728,0.015767514,0.407553584,0.576678902,,-0.309987497,-2.812037384,0.005450091,0.436498592,0.558051317,,0.464591159,0.528038973,0.003780648,0.00358922,magnesium,magnesium-calcium,,0.02015087,0.00642216,0.448419223,0.525007747,carbonate,carbonate-bicarbonate,magnesium-carbonate,magnesium-calcium carbonate-bicarbonate,,76.54155446,imbalance too high
34,Ngbo,RS1,108.5,17,0.96,0.98,2.9,9.6,10.1,5.28, ,5.414441838,1.398889117,0.041757705,0.025065028,0.060381444,0.270803949,0.165530353,0.175976536, ,2.707220919,0.699444559,0.041757705,0.025065028,0.030190722,0.270803949,0.165530353,0.087988268,calcium,chloride,calcium-chloride, ,-1.549960302,1.26844225,1.778852647,1.59279157,-0.601068893,-0.108828347,0.523122741,,-3.658642607,0.530856997,0.93140425,0.067704384,0.000891366,,0.042399233,-4.040694426,0.916129777,0.083309519,0.000560704,,-4.003909097,1.904259084,0.998489966,0.001002883,0.000507151,,-2.953161816,0.933654396,0.986541037,0.009022558,0.004436405,,1.779457203,-0.500316109,0.023369905,0.69596161,0.280668484,,1.407959995,1.042584832,0.027303546,0.747345463,0.225350991,,-0.032518184,-1.415111564,0.047169364,0.539100522,0.413730114,,0.269854122,0.640156773,0.585018573,0.252519686,0.162461741,,0.711505998,0.284388735,0.002729202,0.001376065,calcium,calcium-magnesium,,0.024460704,0.507081412,0.268072173,0.200385711,chloride,chloride-bicarbonate,calcium-chloride,calcium-magnesium chloride-bicarbonate,,82.18705148,imbalance too high
35,Ngbo,HDW1,100.1,54.8,1.05,2.11,2.9,1.86,20,36.7, ,4.995259244,4.509360214,0.04567249,0.053966541,0.060381444,0.052468265,0.327782877,1.223170244, ,2.497629622,2.254680107,0.04567249,0.053966541,0.030190722,0.052468265,0.327782877,0.611585122,calcium,carbonate,calcium-carbonate, ,-2.354529642,1.5447376,1.377869501,1.958699079,1.406025226,-0.426117688,-1.049820407,,-3.838511839,-0.838643352,0.54429463,0.454920782,0.000784589,,-1.112207022,-3.391916074,0.481236297,0.517197492,0.001566211,,-3.161815003,2.166111139,0.996035137,0.001467017,0.002497846,,-3.463129068,1.890823635,0.996752287,0.001213012,0.002034701,,1.232258108,1.730003146,0.024755172,0.037060474,0.938184353,,2.574475049,-2.352711089,0.002699414,0.003972581,0.993328005,,-1.497485224,-2.768691479,0.002489612,0.100517034,0.896993354,,-1.258449238,-2.616396804,0.004317019,0.113671101,0.88201188,,0.505391516,0.49221764,0.000866155,0.001524689,calcium,calcium-magnesium,,0.00748605,0.011337518,0.288093122,0.69308331,carbonate,carbonate-bicarbonate,calcium-carbonate,calcium-magnesium carbonate-bicarbonate,,70.46869408,imbalance too high
36,Ngbo,BH2,68.3,42.7,1.62,1.12,4.1,3.03,20.19,40.2, ,3.40835371,3.513680313,0.070466127,0.028645747,0.085366869,0.085472496,0.330896814,1.339821357, ,1.704176855,1.756840156,0.070466127,0.028645747,0.042683435,0.085472496,0.330896814,0.669910679,magnesium,carbonate,magnesium-carbonate, ,-2.092121706,1.124018277,2.024145426,1.625339504,0.930955757,-0.422656184,-1.127993986,,-3.170989474,-0.815720851,0.478521361,0.519174081,0.002304558,,-1.386819927,-3.892830099,0.42987951,0.569495103,0.000625387,,-3.61691254,1.18394242,0.994280216,0.004660855,0.001058929,,-3.904010711,0.918528053,0.996051877,0.003211429,0.000736694,,1.27274898,1.268081749,0.033361007,0.082361727,0.884277266,,2.442230044,-1.829908462,0.004400075,0.010829199,0.984770726,,-1.386575896,-2.513283219,0.004081321,0.11486854,0.881050139,,-1.149609933,-2.034614996,0.011545757,0.127237496,0.861216746,,0.475670272,0.521180265,0.002544211,0.000605252,magnesium,magnesium-calcium,,0.010460601,0.026184171,0.281595826,0.681759403,carbonate,carbonate-bicarbonate,magnesium-carbonate,magnesium-calcium carbonate-bicarbonate,,58.44253278,imbalance too high
37,Ngbo,HDW2,74.9,28.2,3.81,0.37,6.9,4.51,18.57,19.8, ,3.737711463,2.320510183,0.165725891,0.009463327,0.143666195,0.127221439,0.304346401,0.659912012, ,1.868855731,1.160255092,0.165725891,0.009463327,0.071833097,0.127221439,0.304346401,0.329956006,calcium,carbonate,calcium-carbonate, ,-1.733315624,0.212744377,3.075655524,1.048734206,0.477150363,-0.395086987,-0.475879788,,-2.230725172,-0.052876251,0.701539069,0.285995764,0.012465167,,-1.24121482,-5.121430016,0.666381084,0.333523225,9.57E-05,,-4.858981803,-0.324229771,0.983698452,0.016201285,0.000100263,,-4.447292649,-0.945935303,0.971357994,0.028460196,0.00018181,,0.891548849,0.810616863,0.080952884,0.164689493,0.754357623,,1.375211808,-0.922751409,0.043390113,0.083856622,0.872753266,,-0.581832759,-1.542373544,0.03291833,0.312230049,0.654851621,,-0.406502646,-1.141644059,0.069568695,0.325183572,0.605247733,,0.587904651,0.397719246,0.014281662,9.44E-05,calcium,calcium-magnesium,,0.039315332,0.079528702,0.347942811,0.533213155,carbonate,carbonate-bicarbonate,calcium-carbonate,calcium-magnesium carbonate-bicarbonate,,66.92410432,imbalance too high
38,Ngbo,RS2,47.6,10.9,1.02,1.41,2.6,0.81,25.09,6.6, ,2.375368032,0.896934787,0.044367561,0.036062949,0.054135088,0.022849083,0.411203619,0.219970671, ,1.187684016,0.448467394,0.044367561,0.036062949,0.027067544,0.022849083,0.411203619,0.109985335,calcium,bicarbonate,calcium-bicarbonate, ,-1.392079355,0.921248019,1.128490627,1.415421253,1.584845628,-1.305331892,0.013409581,,-2.802808542,0.349042916,0.865851637,0.129788671,0.004359692,,-0.010148939,-2.90324741,0.834774966,0.161012636,0.004212398,,-2.878531306,1.541339888,0.990447891,0.005278044,0.004274066,,-2.177262429,0.870570536,0.958458875,0.02300085,0.018540274,,1.062859108,2.783041391,0.013008666,0.005488902,0.981502432,,1.016031395,-1.769720768,0.058824113,0.022734914,0.918440972,,0.576922694,-2.26736704,0.01046002,0.823758477,0.165781503,,0.70724827,-2.795396673,0.004606449,0.836629531,0.158764019,,0.672768623,0.312315046,0.008159646,0.006756685,calcium,calcium-magnesium,,0.0205732,0.008207566,0.66047261,0.310746624,bicarbonate,bicarbonate-carbonate,calcium-bicarbonate,calcium-magnesium bicarbonate-carbonate,,65.12300761,imbalance too high
