 Consec, Region, SampleID,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L)," Data in mEq/L  
 start here",Ca mEq/L,Mg mEq/L,Na mEq/L,K mEq/L,SO4 mEq/L,Cl mEq/L,HCO3 mEq/L,CO3 mEq/L," Data in mMol/L 
 start here",Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,CationC,AnionC,FinalC,"hlr transformations  
 start here",hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,"7 hlr model for cations 
 start here",hDF1_Ca-Mg-Na,hDF2_Ca-Mg-Na,hp_Ca,hp_Mg,hp_Na,------,hDF1_Ca-Mg-K,hDF2_Ca-Mg-K,hp_Ca,hp_Mg,hp_K,------,hDF1_Ca-Na-K,hDF2_Ca-Na-K,hp_Ca,hp_Na,hp_K,------,hDF1_Mg-Na-K,hDF2_Mg-Na-K,hp_Mg,hp_Na,hp_K,"7 hlr model for anions 
 start here",hDF1_SO4-Cl-HCO3,hDF2_SO4-Cl-HCO3,hp_SO4,hp_Cl,hp_HCO3,------,hDF1_SO4-Cl-CO3,hDF2_SO4-Cl-CO3,hp_SO4,hp_Cl,hp_CO3,------,hDF1_SO4-HCO3-CO3,hDF2_SO4-HCO3-CO3,hp_SO4,hp_HCO3,hp_CO3,------,hDF1_Cl-HCO3-CO3,hDF2_Cl-HCO3-CO3,hp_Cl,hp_HCO3,hp_CO3,"Sum of cation probabilities 
 of 7 hlr model  start here",hp_Ca,hp_Mg,hp_Na,hp_K,CationP,CationPH,"Sum of anion probabilities 
 of 7 hlr model  start here",hp_SO4,hp_Cl,hp_HCO3,hp_CO3,AnionP,AnionPH,FinalP,FinalPH,-----,Ionic imbalance %,Acceptability
11,PALOMAS-GUADALUPE VICTORIA 1,DLCHI395-260616,4.358,1.017,240.83,6.9635,201.7535,57.37,330.21,29.54, ,0.217475922,0.083686484,10.47552923,0.178102373,4.200747481,1.618335684,5.411859184,0.984535395, ,0.108737961,0.041843242,10.47552923,0.178102373,2.10037374,1.618335684,5.411859184,0.492267698,sodium,bicarbonate,sodium-bicarbonate, ,2.85312242,-2.66974454,1.404694213,-1.062817853,-0.802100819,-2.009295244,0.388030057,,4.580046066,2.186304253,0.00074836,0.000108532,0.999143108,,1.141937736,-0.136387512,0.617511329,0.072712586,0.309776085,,-0.40881394,-4.593283676,0.000829908,0.998761384,0.000408708,,1.338857814,-5.144321669,9.20E-05,0.999448876,0.000459165,,1.091367056,1.185397553,0.047107711,0.093433782,0.859458507,,-1.114909099,1.655487322,0.324186576,0.656959229,0.018854195,,3.058427802,-0.377560016,0.050664904,0.946607726,0.00272737,,3.034279664,0.243977761,0.10737078,0.889582118,0.003047101,,0.154772399,0.018228269,0.749338342,0.07766099,sodium,sodium,,0.105489798,0.214440948,0.673912088,0.006157167,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,5.440953618,acceptable
12,PALOMAS-GUADALUPE VICTORIA 1,DLCHI395-260415,5.271,1.54,254.1,6.041,243.67754,58.08,307.4,31.8, ,0.263037078,0.126722897,11.0527425,0.154507997,5.073655784,1.638363893,5.038022814,1.059858686, ,0.131518539,0.063361448,11.0527425,0.154507997,2.536827892,1.638363893,5.038022814,0.529929343,sodium,bicarbonate,sodium-bicarbonate, ,2.528184261,-2.633394,1.636794014,-1.161629852,-0.724413531,-1.847729119,0.404296184,,4.397660876,1.898723944,0.000893941,0.000202745,0.998903314,,0.770646419,-0.492864274,0.67009385,0.125992304,0.203913847,,-0.690563648,-4.640259365,0.001007574,0.998701696,0.00029073,,0.809607547,-5.103717761,0.00017693,0.999496652,0.000326418,,0.801853722,1.10359911,0.077767457,0.103748423,0.81848412,,-1.274050241,1.511891118,0.417211793,0.56340024,0.019387967,,2.909133164,-0.121380312,0.084972533,0.911343772,0.003683694,,2.857892702,0.245553208,0.122402134,0.873430989,0.004166876,,0.167998841,0.031592995,0.749275416,0.051132749,sodium,sodium,,0.144987946,0.197387699,0.65081472,0.006809634,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,4.969455875,acceptable
13,PALOMAS-GUADALUPE VICTORIA 1,DLCHI395-250617,4.993,1.309,312.9,6.312,135.823,60.3501,349.92,43.2, ,0.24916413,0.107714462,13.61040192,0.161439244,2.827996169,1.702400564,5.734889209,1.439808026, ,0.124582065,0.053857231,13.61040192,0.161439244,1.413998084,1.702400564,5.734889209,0.719904013,sodium,bicarbonate,sodium-bicarbonate, ,2.681342394,-2.850910557,1.583550194,-0.586497423,-0.772115561,-1.986644642,0.088561182,,4.725633898,2.102418975,0.000548456,9.92E-05,0.999352361,,0.940460618,-0.348076004,0.657862015,0.098812604,0.243325381,,-0.582560107,-4.876476912,0.000619367,0.999160835,0.000219798,,1.054892973,-5.382158787,8.83E-05,0.999665429,0.000246285,,1.562175185,1.182109374,0.022380585,0.096157359,0.881462056,,-0.340453631,1.462329331,0.174123456,0.779409971,0.046466573,,2.597567601,-1.022448436,0.023878594,0.970362579,0.005758827,,2.656908764,0.053239795,0.106925035,0.88704021,0.006034754,,0.164757459,0.024750018,0.749544656,0.060947866,sodium,sodium,,0.055095659,0.245623091,0.684716211,0.014565038,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,9.381602794,acceptable
14,PALOMAS-GUADALUPE VICTORIA 1,DLCHI395-261014,6.363,1.608,373.9,6.628,235.95,62.2,300.4,20.2, ,0.317530815,0.132318453,16.26375608,0.169521437,4.912759224,1.754583921,4.923298807,0.673243568, ,0.158765407,0.066159226,16.26375608,0.169521437,2.456379612,1.754583921,4.923298807,0.336621784,sodium,bicarbonate,sodium-bicarbonate, ,2.518721983,-2.985908016,1.577806951,-1.095657501,-0.759200684,-1.790947732,0.891826345,,4.787948628,2.151942199,0.000502749,8.54E-05,0.999411881,,0.927275726,-0.425712202,0.680451971,0.10009296,0.21945507,,-0.643233103,-4.967654157,0.000566226,0.999254571,0.000179203,,1.009632246,-5.488975919,7.90E-05,0.999722524,0.000198429,,0.754050765,1.018517388,0.088212726,0.117891796,0.793895478,,-1.631864828,1.855412445,0.428777972,0.562507333,0.008714695,,3.26895704,0.139852095,0.100801496,0.897244809,0.001953695,,3.213706787,0.514494114,0.139535432,0.858298202,0.002166366,,0.170380236,0.025064344,0.749597244,0.054958175,sodium,sodium,,0.154448049,0.20498364,0.637359622,0.003208689,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,15.84807808,imbalance too high
15,PALOMAS-GUADALUPE VICTORIA 1,DLCHI395-100618,4.707,1.318,291.6,7.35,179.2044,66.0504,326.975,28.7, ,0.234891961,0.10845505,12.68390285,0.187987713,3.731248438,1.863198872,5.358840304,0.956539128, ,0.11744598,0.054227525,12.68390285,0.187987713,1.865624219,1.863198872,5.358840304,0.478269564,sodium,bicarbonate,sodium-bicarbonate, ,2.664525271,-2.79037508,1.421337291,-0.873637082,-0.872336217,-1.928788974,0.487539381,,4.716270045,2.029912834,0.000536534,0.000110428,0.999353037,,0.939498331,-0.121698207,0.577333247,0.098994702,0.323672051,,-0.352822986,-4.759067223,0.00060112,0.999069211,0.000329669,,1.200950236,-5.213576272,9.67E-05,0.99953636,0.000366962,,1.239684291,1.038195949,0.041265381,0.119782818,0.838951802,,-0.980115614,1.802197924,0.24850226,0.73423139,0.01726635,,3.004396814,-0.456183437,0.046215914,0.950804447,0.00297964,,3.010145777,0.392106743,0.135497398,0.86136174,0.003140862,,0.144617725,0.024800452,0.749489652,0.08109217,sodium,sodium,,0.083995889,0.247377901,0.662779497,0.005846713,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,5.195651687,acceptable
16,POZO 1 RANCHO LA CHIRIPA,DLCOA456-220516,1.635,0.5324,363.1,3.283,12.9397,26.12,533.6,60.32, ,0.081590898,0.043809916,15.7939819,0.083967845,0.269419922,0.736812412,8.745247148,2.010398614, ,0.040795449,0.021904958,15.7939819,0.083967845,0.134709961,0.736812412,8.745247148,1.005199307,sodium,bicarbonate,sodium-bicarbonate, ,2.961757733,-3.618913525,1.618036799,1.1453467,-0.553862601,-3.02779492,-0.864470387,,6.025771636,2.225061338,5.46E-05,1.42E-05,0.99993117,,0.868309149,0.094309402,0.480887225,0.106287257,0.412825517,,-0.148880638,-6.02263672,6.36E-05,0.99988449,5.19E-05,,1.388373119,-6.382708427,1.34E-05,0.999928069,5.85E-05,,4.051045189,2.382980639,0.000140378,0.011427172,0.98843245,,2.380778665,0.961145954,0.006921981,0.634871912,0.358206107,,2.266223834,-4.187543894,0.000129088,0.994461815,0.005409098,,2.64488458,-1.300446734,0.012754633,0.981411591,0.005833776,,0.120251363,0.026578722,0.749935932,0.103233983,sodium,sodium,,0.001797862,0.164763429,0.741076464,0.092362245,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,15.27620219,imbalance too high
17,POZO LAS DELICIAS,DLDUR5406-290418,10.03,0.2404,191.17,1.6459,111.9017,18.2497,204.82,16.72, ,0.500523978,0.019781938,8.315437953,0.042096459,2.329926293,0.514801128,3.356824439,0.557259032, ,0.250261989,0.009890969,8.315437953,0.042096459,1.164963146,0.514801128,3.356824439,0.278629516,sodium,bicarbonate,sodium-bicarbonate, ,3.662480667,-3.071766281,2.214139141,-1.106341952,-0.289677888,-2.164647919,0.324219779,,4.168238455,4.475527791,0.005424439,9.60E-06,0.994565959,,2.964056093,-1.99373167,0.990832224,0.001463466,0.00770431,,-2.586111531,-4.684274385,0.005755139,0.994199429,4.54E-05,,1.52816088,-6.508274261,9.49E-06,0.9999378,5.27E-05,,0.792097152,1.818572214,0.046221171,0.030999389,0.92277944,,-1.278244759,0.975895901,0.581599837,0.383638161,0.034762002,,3.091869671,-0.423016963,0.045914649,0.951537176,0.002548174,,3.037860094,-0.461886748,0.036012705,0.960975558,0.003011737,,0.250502951,0.000370639,0.747175797,0.001950613,sodium,sodium-calcium,,0.168433914,0.112662564,0.708823044,0.010080478,bicarbonate,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,,13.55168319,imbalance too high
18,POZO MORCILLO,DLDUR5809-270119,10.48,0.1396,55.05,1.41,21.1716,21.8514,69.55,25.68, ,0.522980189,0.011487348,2.394543387,0.036062949,0.440817856,0.616400564,1.139864953,0.855885882, ,0.261490094,0.005743674,2.394543387,0.036062949,0.220408928,0.616400564,1.139864953,0.427942941,sodium,bicarbonate,sodium-bicarbonate, ,3.701619136,-2.331229604,1.86445224,0.05423365,-0.974178783,-1.588946837,-0.609271636,,2.954165053,4.797704439,0.056178279,3.16E-05,0.943790079,,3.607401401,-2.011361225,0.993822773,0.000452131,0.005725096,,-2.726281282,-3.324616283,0.056752628,0.942907683,0.000339689,,1.850558595,-5.449471722,3.27E-05,0.999560297,0.000407006,,2.143896132,0.565911552,0.01266514,0.251352895,0.735981966,,1.019189559,1.246252641,0.038713078,0.820060742,0.14122618,,1.341144949,-1.796036675,0.015262812,0.935094448,0.049642741,,1.542517932,0.169646742,0.259105173,0.701696327,0.0391985,,0.27668842,0.000129118,0.721564515,0.001617948,sodium,sodium-calcium,,0.016660257,0.332629703,0.593193185,0.057516855,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,1.460530954,acceptable
19,POZO VALLE DORADO,DLDUR638-111118,7.419,0.1677,240.59,1.5545,41.2193,10.6846,271.69,26.26, ,0.370228055,0.01379963,10.4650898,0.039758762,0.85823478,0.301399154,4.452766487,0.875216638, ,0.185114028,0.006899815,10.4650898,0.039758762,0.42911739,0.301399154,4.452766487,0.437608319,sodium,bicarbonate,sodium-bicarbonate, ,3.861488941,-3.462816696,2.110153278,-0.268746998,0.084548041,-2.608297345,-0.288340741,,4.779298851,4.701210304,0.002014571,3.11E-06,0.997982324,,3.126435592,-1.70229224,0.986475374,0.001283986,0.01224064,,-2.336099973,-5.145027602,0.002151031,0.997821574,2.74E-05,,1.886217064,-6.970344701,3.16E-06,0.999965048,3.18E-05,,1.792570306,2.596715757,0.004689808,0.007774312,0.98753588,,0.083915539,0.299547893,0.268313957,0.456473918,0.275212126,,2.699941078,-1.97077023,0.004365918,0.991711221,0.003922861,,2.780057631,-1.463740786,0.008749628,0.986784912,0.004465459,,0.247660244,0.000322563,0.748942236,0.003074956,sodium,sodium,,0.069342421,0.118249465,0.741508003,0.070900112,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,25.32881123,imbalance too high
20,POZO VALLE DORADO,DLDUR638-030917,6.189,0.1214,198.8,1.169,47.7455,13.7369,274.835,37.62, ,0.308847747,0.009989714,8.647324711,0.029898998,0.994118014,0.387500705,4.504310345,1.253832822, ,0.154423873,0.004994857,8.647324711,0.029898998,0.497059007,0.387500705,4.504310345,0.626916411,sodium,bicarbonate,sodium-bicarbonate, ,4.158212459,-3.298384023,2.368796274,-0.442087498,-0.193096421,-2.646168824,-0.674191969,,4.625410737,4.809457221,0.002825995,3.33E-06,0.997170678,,3.221463007,-1.984061938,0.992021903,0.000923572,0.007054525,,-2.644529229,-5.115081089,0.003033071,0.996945427,2.15E-05,,1.774650861,-7.049515933,3.18E-06,0.999971325,2.55E-05,,1.933326828,2.36166773,0.004599726,0.011970482,0.983429792,,0.337170948,0.403545427,0.188375665,0.518343086,0.29328125,,2.495069864,-2.078678581,0.004207876,0.990170354,0.00562177,,2.588951397,-1.28925586,0.013591073,0.979930646,0.00647828,,0.249470242,0.000232519,0.748521857,0.001775381,sodium,sodium,,0.049295817,0.13597616,0.738382698,0.076345325,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,11.50421194,imbalance too high
