 Consec, Region, SampleID,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L)," Data in mEq/L  
 start here",Ca mEq/L,Mg mEq/L,Na mEq/L,K mEq/L,SO4 mEq/L,Cl mEq/L,HCO3 mEq/L,CO3 mEq/L," Data in mMol/L 
 start here",Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,CationC,AnionC,FinalC,"hlr transformations  
 start here",hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,"7 hlr model for cations 
 start here",hDF1_Ca-Mg-Na,hDF2_Ca-Mg-Na,hp_Ca,hp_Mg,hp_Na,------,hDF1_Ca-Mg-K,hDF2_Ca-Mg-K,hp_Ca,hp_Mg,hp_K,------,hDF1_Ca-Na-K,hDF2_Ca-Na-K,hp_Ca,hp_Na,hp_K,------,hDF1_Mg-Na-K,hDF2_Mg-Na-K,hp_Mg,hp_Na,hp_K,"7 hlr model for anions 
 start here",hDF1_SO4-Cl-HCO3,hDF2_SO4-Cl-HCO3,hp_SO4,hp_Cl,hp_HCO3,------,hDF1_SO4-Cl-CO3,hDF2_SO4-Cl-CO3,hp_SO4,hp_Cl,hp_CO3,------,hDF1_SO4-HCO3-CO3,hDF2_SO4-HCO3-CO3,hp_SO4,hp_HCO3,hp_CO3,------,hDF1_Cl-HCO3-CO3,hDF2_Cl-HCO3-CO3,hp_Cl,hp_HCO3,hp_CO3,"Sum of cation probabilities 
 of 7 hlr model  start here",hp_Ca,hp_Mg,hp_Na,hp_K,CationP,CationPH,"Sum of anion probabilities 
 of 7 hlr model  start here",hp_SO4,hp_Cl,hp_HCO3,hp_CO3,AnionP,AnionPH,FinalP,FinalPH,-----,Ionic imbalance %,Acceptability
58,Cauvery,CAU1,50,126,840,62,40,1450,300,30, ,2.495134488,10.36823699,36.53799174,1.585746695,0.832847506,40.90267983,4.916743149,0.999866684, ,1.247567244,5.184118494,36.53799174,1.585746695,0.416423753,40.90267983,4.916743149,0.499933342,sodium,chloride,sodium-chloride, ,-0.438010719,-2.390763491,0.7465337,2.083640998,-2.503606485,-0.385057252,1.900869602,,3.625542752,-0.533993474,0.000973176,0.013759649,0.985267175,,-1.424228715,0.370621008,0.046925494,0.779499725,0.173574781,,0.637232908,-3.782625642,0.001129771,0.994841352,0.004028878,,-0.522976364,-3.043222484,0.017324168,0.978934869,0.003740963,,3.725196248,-2.051972055,0.000317071,0.977359154,0.022323774,,1.405671011,4.584788842,0.000333901,0.999171975,0.000494124,,1.765823691,-1.600118177,0.016066466,0.959987992,0.023945542,,2.26975715,3.395446305,0.976099996,0.023413879,0.000486125,,0.01225711,0.202645885,0.739760849,0.045336156,sodium,sodium,,0.00417936,0.738157781,0.251431412,0.006231448,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,3.380979516,acceptable
59,Cauvery,CAU2,40,90,650,20,40,860,390,18, ,1.99610759,7.405883563,28.27344599,0.511531192,0.832847506,24.25952045,6.391766094,0.599920011, ,0.998053795,3.702941782,28.27344599,0.511531192,0.416423753,24.25952045,6.391766094,0.299960005,sodium,chloride,sodium-chloride, ,-0.441325387,-2.474120867,1.538148907,1.743854094,-2.321006943,-0.987208421,2.071908322,,3.536960153,-0.439898403,0.001203239,0.013739982,0.98505678,,-1.642709314,-0.669426084,0.066014917,0.894345188,0.039639895,,-0.359036736,-4.227291313,0.001431819,0.99779537,0.000772811,,-1.339367784,-3.62984477,0.017876575,0.981386301,0.000737124,,3.659191724,-1.278606277,0.000681444,0.911764283,0.087554274,,0.841319185,4.506201225,0.000795367,0.998773385,0.000431249,,2.624997838,-1.58679144,0.008933936,0.986169585,0.004896478,,3.077436759,2.945174482,0.909684174,0.089926839,0.000388987,,0.017162494,0.231490436,0.741059613,0.010287458,sodium,sodium,,0.002602687,0.70505546,0.290912675,0.001429178,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,8.684823506,acceptable
60,Cauvery,CAU3,110,534,3720,86,200,4250,480,120, ,5.489295873,43.94157581,161.8111063,2.199584125,4.164237528,119.887165,7.866789039,3.999466738, ,2.744647937,21.9707879,161.8111063,2.199584125,2.082118764,119.887165,7.866789039,1.999733369,sodium,chloride,sodium-chloride, ,-0.808505578,-2.805221473,1.492939862,1.547822159,-2.505342838,0.218558192,1.588194315,,4.107073427,-1.121243735,0.000294178,0.015276125,0.984429697,,-2.360833381,-0.348290583,0.016004916,0.960636631,0.023358453,,0.094900362,-4.792544213,0.000370557,0.999153804,0.000475639,,-1.633938425,-3.787901087,0.019559317,0.979992502,0.000448181,,2.815240296,-2.646820521,0.000814698,0.991720217,0.007465086,,1.077935031,4.229457481,0.000832984,0.998367694,0.000799322,,1.018384014,-0.742442854,0.102959944,0.798446045,0.098594011,,1.435939981,3.649609409,0.991393453,0.007807768,0.000798779,,0.004167413,0.248868018,0.740894001,0.006070568,sodium,sodium,,0.026151906,0.745370341,0.203429725,0.025048028,chloride,chloride,sodium-chloride,sodium chloride,,22.19031278,imbalance too high
61,Cauvery,CAU4,30,36,130,12,49,145,94,6, ,1.497080693,2.962353425,5.654689197,0.306918715,1.020238194,4.090267983,1.54057952,0.199973337, ,0.748540346,1.481176713,5.654689197,0.306918715,0.510119097,4.090267983,1.54057952,0.099986668,sodium,chloride,sodium-chloride, ,-0.452904453,-1.792552753,1.121104733,0.613043451,-1.468678095,-0.492226263,2.242650812,,2.333991692,-0.097150302,0.012465471,0.043828519,0.94370601,,-1.010126311,-0.73482148,0.180218661,0.746008099,0.073773241,,-0.531870677,-2.899412475,0.014331164,0.980155245,0.005513591,,-1.006609798,-2.611139823,0.0549211,0.939942912,0.005135988,,1.553317595,-0.928225546,0.026772602,0.823430019,0.14979738,,-0.84868067,3.353146564,0.034904523,0.963636197,0.00145928,,2.504469436,0.164380795,0.169932771,0.822474702,0.007592528,,2.68030268,2.359042461,0.841211228,0.15744809,0.001340682,,0.051753824,0.211189429,0.715951042,0.021105705,sodium,sodium,,0.057902474,0.657069361,0.282430043,0.002598122,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,20.66907195,imbalance too high
62,Cauvery,CAU5,26,56.4,180,20,12,150,140,24, ,1.297469934,4.641020366,7.829569658,0.511531192,0.249854252,4.231311707,2.294480136,0.799893348, ,0.648734967,2.320510183,7.829569658,0.511531192,0.124927126,4.231311707,2.294480136,0.399946674,sodium,chloride,sodium-chloride, ,-0.70763876,-1.92375924,0.804495022,2.214173013,-1.308363733,-0.69635799,1.050572364,,2.710940488,-0.61077596,0.004751738,0.051089806,0.944158455,,-1.429416797,-0.086092138,0.064575641,0.831904301,0.103520058,,0.177520588,-3.06298594,0.005597974,0.986109223,0.008292803,,-0.915976921,-2.422760187,0.065068855,0.927449897,0.007481248,,3.369809172,-0.604388391,0.00168978,0.747579278,0.250730942,,1.924421925,2.604312019,0.002232008,0.975317477,0.022450515,,1.108895706,-2.350810472,0.006857929,0.925948737,0.067193334,,1.566096753,1.425144614,0.730892849,0.253431838,0.015675314,,0.018731338,0.237015741,0.714429394,0.029823527,sodium,sodium,,0.002694929,0.613447401,0.357527879,0.026329791,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,30.67495607,imbalance too high
63,Cauvery,CAU6,20,36,20,10,23,60,100,0.0001, ,0.998053795,2.962353425,0.869952184,0.255765596,0.478887316,1.692524683,1.638914383,3.33E-06, ,0.499026898,1.481176713,0.869952184,0.255765596,0.239443658,1.692524683,1.638914383,1.67E-06,magnesium,chloride,magnesium-chloride, ,-2.332720521,-1.800566644,-0.576389778,-0.510446534,-2.466104982,-2.433917734,11.36493459,,2.07598982,-0.541989848,0.014668879,0.104134014,0.881197106,,-1.185329102,0.928316139,0.039716079,0.590075165,0.370208756,,1.283245883,-1.78334439,0.013034745,0.830938194,0.156027061,,-0.112575402,-1.063668151,0.161795188,0.728578994,0.109625818,,0.754546683,0.174574198,0.123349642,0.364595054,0.512055304,,-9.893637416,10.36373152,0.409009379,0.590990621,3.20E-11,,13.13482551,5.114586848,0.29521887,0.70478113,4.04E-11,,12.94439414,6.228064768,0.384925471,0.615074529,3.52E-11,,0.016854926,0.214001092,0.610178574,0.158965409,sodium,sodium,,0.206894473,0.335127787,0.457977741,2.69E-11,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,,14.34049098,imbalance too high
64,Cauvery,CAU7,30,24,240,6,26,450,256,60, ,1.497080693,1.974902283,10.43942621,0.153459358,0.541350879,12.69393512,4.195620821,1.999733369, ,0.748540346,0.987451142,10.43942621,0.153459358,0.270675439,12.69393512,4.195620821,0.999866684,sodium,chloride,sodium-chloride, ,0.367279407,-1.990938473,2.228970666,1.661485964,-2.186473183,-1.079390173,0.354784471,,2.666951277,0.421921462,0.009286794,0.014592762,0.976120444,,-0.845403752,-1.851235785,0.375817516,0.605672898,0.018509586,,-1.710831466,-3.768055297,0.010935646,0.988612723,0.000451631,,-1.551450504,-3.808619951,0.017322369,0.982215308,0.000462323,,3.890659348,-1.086749857,0.000538685,0.878788707,0.120672608,,2.254897402,3.285894013,0.000587496,0.991591077,0.007821427,,1.198601338,-2.57265641,0.004436608,0.940707168,0.054856224,,1.696312827,2.053271443,0.874153421,0.119613221,0.006233357,,0.099009989,0.159397007,0.736737119,0.004855885,sodium,sodium,,0.001390697,0.686133301,0.295248249,0.017227752,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,16.01937647,imbalance too high
65,Cauvery,CAU8,52,88.8,263,11,183,400,200,30, ,2.594939867,7.307138449,11.43987122,0.281342156,3.810277338,11.28349788,3.277828766,0.999866684, ,1.297469934,3.653569224,11.43987122,0.281342156,1.905138669,11.28349788,3.277828766,0.499933342,sodium,chloride,sodium-chloride, ,-0.509849739,-1.651249908,2.054038536,0.141300023,-1.637486473,-0.401326421,1.479135326,,2.109409447,-0.538715681,0.013907554,0.099636234,0.886456211,,-1.695215336,-1.790541924,0.11261002,0.87856166,0.00882832,,-1.469798338,-3.313981163,0.017992992,0.980836824,0.001170184,,-2.204161378,-2.954407248,0.117363836,0.88157175,0.001064414,,1.288646913,-1.186121351,0.034150618,0.868170535,0.097678846,,-0.626049592,3.013838952,0.040206297,0.956805487,0.002988216,,1.893237129,0.268824537,0.274470341,0.704493046,0.021036613,,2.038861843,2.339477417,0.895586354,0.101537776,0.00287587,,0.036127642,0.273890433,0.687216196,0.00276573,sodium,sodium-magnesium,,0.087206814,0.680140594,0.225927417,0.006725175,chloride,chloride,sodium-chloride,sodium-magnesium chloride,,5.492948101,acceptable
66,Cauvery,CAU9,41,26,70,3,36,138,134,1, ,2.04601028,2.139477474,3.044832645,0.076729679,0.749562755,3.89280677,2.196145273,0.033328889, ,1.02300514,1.069738737,3.044832645,0.076729679,0.374781378,3.89280677,2.196145273,0.016664445,sodium,chloride,sodium-chloride, ,-0.604154197,-1.650185689,2.03072695,0.444672667,-1.895870182,-1.323443425,3.557738137,,1.606209474,0.397904642,0.057571623,0.058410497,0.884017879,,-0.866257346,-2.292444829,0.431117027,0.559353228,0.009529745,,-2.091183598,-2.847801427,0.066176429,0.932505687,0.001317884,,-1.943127125,-2.996209587,0.085221556,0.913520548,0.001257896,,2.004805652,-0.504026494,0.016253938,0.702163731,0.28158233,,-2.056163867,4.759451042,0.027972595,0.971963719,6.37E-05,,4.623300014,0.446031315,0.065423857,0.93440583,0.000170312,,4.796588264,2.943690111,0.707081822,0.292867935,5.02E-05,,0.13871627,0.17574632,0.682511029,0.003026381,sodium,sodium,,0.027412598,0.595302318,0.377214024,7.11E-05,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,3.069395938,acceptable
