iter	Logloss
0	0.5582539535
1	0.4779864815
2	0.406405913
3	0.3544018908
4	0.3347377013
5	0.3144317738
6	0.3028234364
7	0.2905175735
8	0.2774548602
9	0.2669774088
10	0.2622201835
11	0.2578113456
12	0.249045102
13	0.2426568919
14	0.2397391292
15	0.2374928037
16	0.230548271
17	0.2269769511
18	0.2244421766
19	0.2215212379
20	0.218254756
21	0.2161618155
22	0.2140197796
23	0.2117161173
24	0.2099923402
25	0.2079113357
26	0.206191468
27	0.2046084011
28	0.2030546361
29	0.2017055434
30	0.2004070178
31	0.1990788041
32	0.1974580935
33	0.1958990383
34	0.1946416708
35	0.1935400854
36	0.1923470382
37	0.1909244826
38	0.1895322304
39	0.1884622331
40	0.1871095116
41	0.1859396511
42	0.1850462358
43	0.183887418
44	0.1828093482
45	0.1816752477
46	0.1806259165
47	0.1794640179
48	0.1784411762
49	0.1774348619
50	0.1767935062
51	0.1758377779
52	0.1751153083
53	0.1742062465
54	0.1728031844
55	0.1720853955
56	0.1708723022
57	0.1701055921
58	0.1693654955
59	0.1685220131
60	0.1674674727
61	0.1667701991
62	0.1660506529
63	0.1655686892
64	0.1644654978
65	0.1638538694
66	0.1633461784
67	0.1628023221
68	0.1621998101
69	0.1617790635
70	0.1611963254
71	0.1607155064
72	0.1600466468
73	0.1595206012
74	0.1590403136
75	0.1581900707
76	0.1576675889
77	0.1570460847
78	0.1565618857
79	0.1561097452
80	0.1554636362
81	0.1549420894
82	0.1544425741
83	0.1540060581
84	0.1535703861
85	0.1531799696
86	0.1524307745
87	0.1517260796
88	0.1513016702
89	0.1509012131
90	0.1503543926
91	0.1499228076
92	0.1493138163
93	0.1488473779
94	0.1483838242
95	0.1479089239
96	0.1474549895
97	0.147073079
98	0.1462599734
99	0.1453761287
100	0.1450383165
101	0.1444188193
102	0.1439711495
103	0.1436221981
104	0.1432796086
105	0.1429189188
106	0.1425519815
107	0.1421756082
108	0.1417794924
109	0.1413554969
110	0.1410357775
111	0.1402872529
112	0.1398337192
113	0.1395312682
114	0.139124507
115	0.1386773946
116	0.1381794059
117	0.137813496
118	0.1374420274
119	0.1370347972
120	0.1367254013
121	0.1362705007
122	0.1359216949
123	0.1353819839
124	0.1350234527
125	0.134673175
126	0.1343807789
127	0.1340902202
128	0.133741197
129	0.133418696
130	0.1328732998
131	0.132431232
132	0.1322007987
133	0.1318925266
134	0.1314614612
135	0.1310718715
136	0.1306706647
137	0.1303748851
138	0.1300972632
139	0.1297875551
140	0.1295435574
141	0.129165511
142	0.1287671755
143	0.1284421877
144	0.1281261627
145	0.1277105215
146	0.1272670019
147	0.1268137956
